DATE,PERPLEXITY_SCORE,PERPLEXITY_MODEL,GEMINI_SCORE,GEMINI_MODEL,CHATGPT_SCORE,CHATGPT_MODEL
2025-09-18,83,sonar-pro,85,gemini-2.5-flash-lite,0,None
2025-09-19,89,sonar-pro,92,gemini-2.5-flash-lite,0,None
2025-09-20,92,sonar-pro,62,gemini-2.5-pro,0,None
2025-09-21,77,sonar-pro,73,gemini-2.5-pro,0,None
2025-09-22,84,sonar-pro,58,gemini-2.5-pro,0,None
2025-09-23,82,sonar-pro,77,gemini-2.5-pro,0,None
2025-09-24,85,sonar-pro,62,gemini-2.5-pro,0,None
2025-09-25,89,sonar-pro,78,gemini-2.5-pro,0,None
2025-09-26,79,sonar-pro,73,gemini-2.5-pro,0,None
2025-09-27,74,sonar-pro,62,gemini-2.5-pro,0,None
2025-09-28,0,sonar-pro,78,gemini-2.5-pro,0,None
2025-09-29,74,sonar-pro,68,gemini-2.5-pro,0,None
2025-09-30,75,sonar-pro,88,gemini-2.5-pro,0,None
2025-10-01,0,sonar-pro,62,gemini-2.5-pro,0,None
2025-10-02,83,sonar-pro,70,gemini-2.5-pro,0,None
2025-10-03,0,sonar-pro,88,gemini-2.5-pro,0,None
2025-10-04,76,sonar-pro,76,gemini-2.5-pro,0,None
2025-10-05,63,sonar-pro,38,gemini-2.5-pro,0,None
2025-10-06,85,sonar-pro,34,gemini-2.5-pro,0,None
2025-10-07,77,sonar-pro,67,gemini-2.5-pro,0,None
2025-10-08,83,sonar-pro,78,gemini-2.5-pro,70,gpt-5
2025-10-09,85,sonar-pro,78,gemini-2.5-pro,64,gpt-5
2025-10-10,83,sonar-pro,85,gemini-2.5-pro,73,gpt-5
2025-10-11,88,sonar-pro,62,gemini-2.5-pro,60,gpt-5
2025-10-12,87,sonar-pro,72,gemini-2.5-pro,62,gpt-5
2025-10-13,76,sonar-pro,66,gemini-2.5-pro,49,gpt-5
2025-10-14,82,sonar-pro,82,gemini-2.5-pro,60,gpt-5
2025-10-15,89,sonar-pro,82,gemini-2.5-pro,56,gpt-5
2025-10-16,83,sonar-pro,82,gemini-2.5-pro,66,gpt-5
2025-10-17,81,sonar-pro,74,gemini-2.5-pro,68,gpt-5
2025-10-18,83,sonar-pro,78,gemini-2.5-pro,82,gpt-5
2025-10-19,82,sonar-pro,87,gemini-2.5-pro,74,gpt-5
2025-10-20,78,sonar-pro,68,gemini-2.5-pro,77,gpt-5
2025-10-21,77,sonar-pro,81,gemini-2.5-pro,74,gpt-5
